sequence,variable,value
1300,param_79,-0.0018
1301,param_79,-0.0106
1302,param_79,-0.0234
1303,param_79,-0.0007
1304,param_79,-0.0156
1305,param_79,-0.0048
1306,param_79,-0.0108
1307,param_79,-0.0126
1308,param_79,-0.012
1309,param_79,0.0028
1310,param_79,-0.0163
1311,param_79,-0.0141
1312,param_79,-0.0006
1313,param_79,-0.0113
1314,param_79,-0.0134
1315,param_79,-0.0199
1316,param_79,-0.0036
1317,param_79,-0.0048
1318,param_79,-0.019
1319,param_79,0.0011
1320,param_79,-0.0322
1321,param_79,-0.0082
1322,param_79,-0.0107
1323,param_79,-0.0021
1324,param_79,0.0012
1325,param_79,-0.0063
1326,param_79,-0.0255
1327,param_79,-0.0145
1328,param_79,0.0066
1329,param_79,-0.0213
1330,param_79,-0.0082
1331,param_79,-0.0108
1332,param_79,-0.01
1333,param_79,-0.028
1334,param_79,0.0046
1335,param_79,-0.0091
1336,param_79,0.0021
1337,param_79,-0.0217
1338,param_79,0.0149
1339,param_79,-0.0115
1340,param_79,-0.0132
1341,param_79,-0.0029
1342,param_79,-0.011
1343,param_79,-0.0138
1344,param_79,-0.0179
1345,param_79,-0.002
1346,param_79,-0.0183
1347,param_79,-0.0062
1348,param_79,-0.0285
1349,param_79,-0.0092
1350,param_79,-0.0137
1351,param_79,-0.0039
1352,param_79,-0.0138
1353,param_79,-0.0112
1354,param_79,0.0018
1355,param_79,0.0032
1356,param_79,-0.003
1357,param_79,-0.0044
1358,param_79,-0.0166
1359,param_79,0.0057
1360,param_79,0.0014
1361,param_79,-0.017
1362,param_79,0.002
1363,param_79,-0.0274
1364,param_79,-0.0107
1365,param_79,0.0093
1366,param_79,-0.0078
1367,param_79,-0.0087
1368,param_79,-0.0036
1369,param_79,-0.0091
1370,param_79,0.0023
1371,param_79,-0.0052
1372,param_79,-0.0112
1373,param_79,-0.0006
1374,param_79,0.0098
1375,param_79,-0.0024
1376,param_79,-0.0079
1377,param_79,-0.0048
1378,param_79,-0.009
1379,param_79,-0.0106
1380,param_79,-0.0092
1381,param_79,-0.0068
1382,param_79,0.0058
1383,param_79,0.002
1384,param_79,0.001
1385,param_79,-0.0107
1386,param_79,-0.0072
1387,param_79,0.0269
1388,param_79,0.0261
1389,param_79,0.0085
1390,param_79,-0.0075
1391,param_79,0.0137
1392,param_79,-0.0068
1393,param_79,0.0012
1394,param_79,-0.0049
1395,param_79,0.0105
1396,param_79,0.0023
1397,param_79,0.01
1398,param_79,0.0075
1399,param_79,0.0144
1400,param_79,-0.0331
1401,param_79,0.0125
1402,param_79,0.0059
1403,param_79,-0.0124
1404,param_79,0.0119
1405,param_79,0.0096
1406,param_79,-0.0054
1407,param_79,0.0019
1408,param_79,-0.0044
1409,param_79,-0.0024
1410,param_79,-0.0268
1411,param_79,0.0045
1412,param_79,-0.0006
1413,param_79,0.0112
1414,param_79,0.0064
1415,param_79,-0.0013
1416,param_79,0.0061
1417,param_79,0.0044
1418,param_79,0.0082
1419,param_79,-0.0139
1420,param_79,0.0038
1421,param_79,-0.0097
1422,param_79,-0.0018
1423,param_79,-0.0057
1424,param_79,-0.005
1425,param_79,-0.01
1426,param_79,0.0109
1427,param_79,0.0061
1428,param_79,0.0017
1429,param_79,-0.0052
1430,param_79,0.0017
1431,param_79,0.0103
1432,param_79,-0.0108
1433,param_79,-0.0116
1434,param_79,0.0101
1435,param_79,-0.0198
1436,param_79,0.0025
1437,param_79,0.0135
1438,param_79,0.0059
1439,param_79,0.0091
1440,param_79,0.0116
1441,param_79,0.0103
1442,param_79,-0.0071
1443,param_79,-0.0031
1444,param_79,-0.0275
1445,param_79,-0.0026
1446,param_79,-0.0115
1447,param_79,-0.0093
1448,param_79,-0.035
1449,param_79,-0.0106
1450,param_79,-0.0247
1451,param_79,-0.0288
1452,param_79,-0.0133
1453,param_79,-0.0214
1454,param_79,0.0209
1455,param_79,-0.0274
1456,param_79,-0.0285
1457,param_79,-0.0133
1458,param_79,-0.0253
1459,param_79,-0.0217
1460,param_79,-0.0169
1461,param_79,-0.0296
1462,param_79,-0.0073
1463,param_79,-0.0083
1464,param_79,-0.0107
1465,param_79,-0.0116
1466,param_79,0.0032
1467,param_79,-0.0155
1468,param_79,0.0032
1469,param_79,-0.0028
1470,param_79,-0.0177
1471,param_79,-0.0038
1472,param_79,-0.0024
1473,param_79,-0.0001
1474,param_79,0.0008
1475,param_79,0.0029
1476,param_79,0.0072
1477,param_79,0.0008
1478,param_79,-0.0021
1479,param_79,-0.0028
1480,param_79,0.0027
1481,param_79,0.0172
1482,param_79,0.0077
1483,param_79,-0.0049
1484,param_79,-0.0187
1485,param_79,-0.0209
1486,param_79,0.0029
1487,param_79,-0.0206
1488,param_79,-0.0045
1489,param_79,-0.018
1490,param_79,-0.0114
1491,param_79,-0.0021
1492,param_79,-0.0217
1493,param_79,-0.02
1494,param_79,-0.0362
1495,param_79,-0.0044
1496,param_79,-0.0037
1497,param_79,0.0083
1498,param_79,0.0077
1499,param_79,0.0127
1500,param_79,0.0162
1501,param_79,-0.0032
1502,param_79,-0.0077
1503,param_79,0.0007
1504,param_79,0.0029
1505,param_79,-0.0087
1506,param_79,0.0075
1507,param_79,-0.0004
1508,param_79,-0.0015
1509,param_79,-0.0129
1510,param_79,-0.0122
1511,param_79,0.0068
1512,param_79,0.0062
1513,param_79,0.0027
1514,param_79,-0.0029
1515,param_79,0.0037
1516,param_79,0.0024
1517,param_79,-0.0097
1518,param_79,-0.0063
1519,param_79,-0.0134
1520,param_79,-0.0055
1521,param_79,0.0206
1522,param_79,-0.004
1523,param_79,-0.0194
1524,param_79,-0.0067
1525,param_79,0.0102
1526,param_79,0.0013
1527,param_79,0.0147
1528,param_79,0.0019
1529,param_79,0.0005
1530,param_79,-0.0056
1531,param_79,0.0001
1532,param_79,0.0032
1533,param_79,-0.0048
1534,param_79,-0.0004
1535,param_79,0.008
1536,param_79,-0.0002
1537,param_79,0.0048
1538,param_79,0.0025
1539,param_79,0.0093
1540,param_79,0.0026
1541,param_79,-0.018
1542,param_79,0.0034583279325988334
1543,param_79,0.0034583279325988334
1544,param_79,0.0034583279325988334
1545,param_79,0.0034583279325988334
1546,param_79,0.0034583279325988334
1547,param_79,0.0034583279325988334
1548,param_79,0.0034583279325988334
1549,param_79,0.0034583279325988334
1550,param_79,0.0093
1551,param_79,0.0034583279325988334
1552,param_79,0.0034583279325988334
1553,param_79,0.0034583279325988334
1554,param_79,0.0034583279325988334
1555,param_79,0.0034583279325988334
1556,param_79,0.0034583279325988334
1557,param_79,0.0034583279325988334
1558,param_79,0.0034583279325988334
1559,param_79,0.0034583279325988334
1560,param_79,0.0034583279325988334
1561,param_79,0.0034583279325988334
